,,,,,ReSecuritization,,,
,SFA,,SSFA,,1250%,,Total,
March 31 2023,Exposure,RWA,Exposure,RWA,Exposure,RWA,Exposure,RWA
0% < 20%,68,14,2146,455,,,2214,469
20% < 50%,,,,,,,,
50% < 100%,,,,13,,,2,13
100% < 1250%,,,2,2,,,,2
Resecuritization,68,14,2148,470,,,2216,484
Toal secruritization,103958,22396,130481,29708,42,542,234481,52646
